A,B
74,30.0
30,59.0
35,69.0
45,88.0
74,68.0
84,60.0
72,35.0
68,57.0
38,77.0
45,83.0
50,34.0
67,83.0
79,83.0
86,30.0
89,47.0
78,54.0
49,81.0
90,72.0
45,61.0
32,72.0
34,30.0
59,46.0
59,38.0
66,61.0
67,42.0
54,49.0
45,87.0
69,47.0
55,54.0
60,76.0
44,56.0
34,88.0
51,40.0
77,75.0
87,67.0
54,54.0
47,61.0
55,38.0
39,42.0
91,93.0
85,85.0
53,64.0
85,70.0
53,38.0
92,63.0
33,88.0
33,93.0
73,34.0
35,63.0
81,91.0
47,43.0
63,79.0
76,89.0
64,56.0
80,79.0
54,84.0
81,75.0
36,79.0
66,82.0
57,54.0
47,63.0
32,30.0
60,81.0
78,78.0
84,71.0
74,74.0
87,60.0
48,71.0
68,53.0
45,41.0
38,37.0
72,57.0
76,90.0
70,59.0
31,42.0
80,69.0
61,57.0
45,47.0
61,40.0
52,60.0
85,32.0
91,81.0
31,61.0
47,74.0
36,45.0
33,67.0
57,59.0
91,85.0
54,38.0
94,34.0
75,86.0
59,60.0
94,30.0
54,38.0
80,30.0
89,65.0
81,33.0
37,90.0
56,49.0
59,87.0
63,65.0
39,50.0
40,35.0
73,56.0
34,51.0
94,61.0
37,54.0
82,81.0
91,85.0
64,56.0
92,62.0
78,54.0
42,46.0
68,56.0
39,62.0
31,64.0
31,52.0
76,82.0
90,79.0
52,48.0
36,50.0
89,37.0
76,63.0
56,43.0
76,92.0
68,86.0
34,48.0
73,33.0
62,92.0
59,48.0
58,80.0
58,37.0
52,81.0
91,67.0
72,49.0
45,60.0
30,75.0
43,52.0
76,88.0
62,60.0
92,31.0
38,67.0
72,66.0
33,76.0
59,84.0
41,81.0
82,42.0
88,80.0
81,41.0
77,36.0
84,51.0
81,77.0
37,68.0
80,61.0
30,89.0
57,54.0
60,57.0
93,42.0
81,87.0
86,60.0
79,52.0
50,71.0
59,54.0
89,52.0
36,81.0
53,63.0
42,62.0
51,65.0
71,73.0
43,55.0
53,50.0
89,92.0
54,76.0
35,57.0
40,42.0
51,47.0
51,48.0
48,74.0
85,33.0
90,50.0
32,
54,
42,
75,
92,
31,
57,
77,
44,
46,
41,
83,
67,
84,
64,
62,
77,
70,
81,
32,
58,
41,
75,
30,
33,
92,
33,
46,
31,
84,
89,
74,
43,
73,
60,
89,
74,
31,
90,
90,
93,
78,
67,
69,
39,
89,
70,
87,
36,
38,
63,
62,
30,
94,
37,
53,
87,
50,
30,
60,
47,
90,
65,
41,
43,
67,
38,
34,
72,
55,
33,
61,
39,
54,
59,
74,
88,
51,
44,
31,
46,
55,
80,
81,
79,
38,
79,
83,
34,
40,
85,
86,
43,
31,
39,
78,
72,
74,
37,
94,
72,
54,
92,
51,
31,
81,
65,
36,
89,
60,
80,
33,
61,
35,
91,
80,
30,
91,
84,
57,
