value,target
275.6300143247822,a
280.99464800876706,a
242.13557420828212,a
213.84129266447698,a
255.09808768013045,a
248.12645184171353,a
231.07589499922068,a
280.73851718770305,a
270.54183675818746,a
226.22529963048768,a
239.13769594578542,a
288.58191392056085,a
230.32093210331635,a
251.31440157630772,a
228.56452426969113,a
238.14989598930237,a
239.14927170971737,a
248.84654255930835,a
268.5328811748469,a
289.5765514897183,a
208.00577451346663,a
269.5993287816666,a
228.70055700320313,a
246.3137566163103,a
281.59943730743964,a
264.8437983196086,a
229.65384746887426,a
246.06189016401083,a
274.73758233327527,a
273.619630191827,a
272.6246924334295,a
273.3851786597006,a
247.14631322727217,a
256.57128577626025,a
224.01062463167045,a
241.7779114563276,a
205.02527593419768,a
211.99276584956382,a
289.6971392539477,a
249.20269729451033,a
245.55308710449256,a
296.4347718027602,a
251.66746539774584,a
269.6209395877657,a
260.2157023204631,a
238.72444605134956,a
247.67897746000796,a
201.30302995108644,a
226.63755002440234,a
250.24595242515272,a
236.0338322615034,a
246.40796988046523,a
268.1622028063845,a
249.69482021107012,a
230.49646352609614,a
230.51712626679296,a
280.1639901876453,a
237.91723839579777,a
223.28153754323714,a
266.38941666508214,a
212.815984293935,a
221.6440354216087,a
274.1655481307641,a
335.9406301877291,a
224.45709829528718,a
246.94391831569837,a
242.63553844862182,a
254.59970184377215,a
211.89734919368183,a
219.9300063090816,a
255.581848477421,a
223.4878396200396,a
218.2833293806816,a
248.01045316005272,a
214.8499292775294,a
246.7068972116688,a
238.68625042508748,a
262.727020480525,a
245.401367436193,a
264.24911028344974,a
259.6420137505007,a
225.7950980695149,a
272.9172179215619,a
259.14553093141166,a
248.7082064993991,a
227.4824722656238,a
263.4222949580208,a
243.46735106455117,a
225.5192859367764,a
205.00240773758418,a
249.78239317724257,a
232.0880524249104,a
309.37264547637,a
234.9088137472382,a
231.6748455910209,a
258.59898149488987,a
222.3384736789183,a
219.7975434772476,a
263.3807993528543,a
223.31430520439142,a
227.76124785560282,b
240.87409301697124,b
302.74139936533726,b
311.3270987960338,b
251.29348306835962,b
262.35275130703627,b
318.0087350237733,b
275.8957764405986,b
227.85268125605023,b
259.42836285978547,b
265.2223685384147,b
238.976844105045,b
226.15246713198886,b
246.45860905327802,b
235.69049342876338,b
253.74306339931695,b
241.77375528135937,b
257.7922483642337,b
234.3650335777266,b
213.5900510002134,b
150.33747264693562,b
174.27204273550103,b
242.54119519604657,b
314.5167113076817,b
236.42983490862926,b
193.34007501556823,b
200.78884151531508,b
273.2881467355008,b
211.62405755147844,b
300.2694334032375,b
244.74440850658291,b
316.5713308317281,b
239.31677135882015,b
329.9519585762523,b
318.81084673773603,b
279.7747848314696,b
268.25083177229453,b
190.42819280109242,b
274.9975994528901,b
221.1224224212468,b
270.3318211314545,b
227.07607530596704,b
225.8771419559283,b
191.30084539932835,b
271.5043391824491,b
253.1661493433311,b
204.58120463237933,b
274.7770842243762,b
180.4777524861834,b
273.89281087063426,b
204.6661120160569,b
229.7194570761453,b
257.6631651449503,b
221.7634103005784,b
275.695549712008,b
202.356320963627,b
214.03344827518788,b
201.26514797254134,b
267.4756449260083,b
225.32013963741224,b
210.2810376849709,b
239.60430999945376,b
237.1531278745829,b
248.4468742206947,b
216.5614349486138,b
291.60280351275526,b
179.831512206792,b
246.63583892938095,b
288.8228294704715,b
281.33415493770303,b
281.17970766281525,c
253.07416081385568,c
235.5703345821031,c
341.5392062568643,c
258.44559293986816,c
272.3317729684011,c
233.99666254772734,c
286.57712365806117,c
148.29020968999333,c
287.4056123010305,c
183.5315379121173,c
323.1336265100869,c
286.0056851248725,c
193.22915195018516,c
220.9562176402566,c
262.8828172250096,c
279.0271667845864,c
287.33735235518185,c
322.9830551654611,c
262.2165652949589,c
254.28378483017497,c
332.9468444352,c
303.4704532379377,c
253.7719615942534,c
234.1594551111778,c
187.70452416976437,c
246.95587467585432,c
242.45010833868935,c
287.48373895345014,c
300.5669983668197,c
