before,after
253.56661524551401,220.8578371248828
195.08018857058698,209.20666731743611
228.29969047097592,173.07005676288236
279.4173674283133,222.35698024620734
230.0622099624552,248.37104467234536
259.2069607324197,183.63178274226073
201.19775364602697,189.9259506574357
280.61406127541744,202.10904408103266
263.24795454682237,247.754704051485
215.83355594516806,164.11767327239872
240.36137849079802,220.62404958843635
202.42329503788997,284.31416680971375
201.49401424383908,241.81137852787953
229.98202681772435,236.69307888327933
187.9429153810564,225.9428454896219
182.01586705429025,176.11610893334395
249.10014867413872,240.9375510666758
226.84038352688924,281.66973030035723
232.79221664433425,191.7321315998353
228.60677695049162,237.58492951764018
251.78860828973268,223.86621666395067
237.06205923040352,238.57432802782327
188.4722947355378,216.24059600372374
261.1798245913725,218.0078128975441
183.31803857778343,252.81327950852688
164.91369562744802,200.00547681526308
248.76322247396982,197.50326879055663
214.0923196065597,287.95081740469305
158.06081369749398,166.5501300093821
265.27958842568034,260.3106530041362
243.94303108700456,180.2819132813544
256.183111860686,168.50084644803056
278.045199490341,258.2321645768412
228.26965765591564,194.64551604840426
193.91680559195655,186.8128450195444
189.42191802395587,261.3410921185282
216.67512559936978,226.8152363815457
151.83136969245584,183.70281560047817
211.91602133626066,243.25920328999092
210.9145328582348,171.0656250895829
253.2814277432402,252.92009480227236
216.23719710491844,223.13161535086738
206.96187923311103,199.47325361336092
140.85433750134138,173.66940128380747
236.2842625441122,257.4901669666899
190.62185653103876,210.0746883419201
203.63418777581825,242.64291754377047
160.31265646836567,198.48242837758735
229.68601212283508,162.42972252788798
200.84403825956434,254.77997223233282
204.2662870385317,255.57778945402868
202.82965465077515,202.63879844188807
188.65426747119216,217.36653385312763
207.97057114339597,278.9731792944928
281.0013775522521,231.1923614620281
226.98289431836633,192.55786291109573
219.1207134810263,260.533901822523
241.55640231868946,225.4612243496443
164.70418862576807,179.74428553288163
217.05750025399283,213.8298948530156
252.6882728610973,234.65531253270885
217.83276795438235,184.15833932544984
219.20544094439487,183.99312621451105
241.5296712362677,189.00074251334019
244.827589168073,204.209007889421
224.25668202745115,151.8400791030394
196.2956735033947,222.3310233294767
257.65692738884655,189.64083280341953
263.6162147803533,237.92139022536074
222.8491291090317,214.07618163879326
213.06268161440155,220.67390350782705
218.19666007946196,214.0596422032348
205.41301562376466,244.09847590325177
210.46568590297744,215.60907325508035
232.14307129045926,203.75055108367152
198.19537831118882,269.75304045905546
196.26689156620807,247.00775567620573
220.6546293505617,244.54212017395753
217.67423375736928,294.88481570270477
253.1797563107831,188.87054963762375
231.7941829872637,201.99750248635348
177.70977203512535,212.87226393145912
241.25502286289924,224.51570521264773
239.8165754048607,156.83848749970747
191.73491248169054,150.5375519090025
214.58363209607367,233.63450650116596
187.7262865838077,255.8912884611175
207.57322367602606,179.5918256993642
238.82607592299314,232.2959423687569
245.49626131828688,212.32773052138893
209.80442830811506,220.49445393925043
172.998587334766,229.3818539377245
193.4995848360702,228.5342373865545
195.90879842531913,237.98819616034078
208.66979176308269,246.4014430550689
221.4120585222355,226.8126426735724
203.1731756732309,204.8160568477708
223.09783546964022,190.8966565943143
205.97847522232985,208.87338928729926
232.34523660738282,263.15326840516104
213.14440318567878,179.40354382056415
227.59973907022308,215.96535669596807
207.83004601186656,270.2668234108893
214.4023604578256,221.25037762814307
215.45876073747274,209.98255496783617
245.6346774879005,230.67815387896258
268.07141551134237,201.73316482426566
241.99707017291286,217.18124283145062
243.27853088449763,218.966018418075
230.70693298953753,235.92702526008105
173.8678517119285,235.67121602961637
202.60162574725848,209.50494747760192
211.87565473081247,269.7947122534397
193.8447204546523,166.95178634217478
241.44188531969775,265.3610276685956
198.36607727737214,219.59213731581914
237.24523424398933,234.1519341448683
264.96822487633403,230.7064927884317
246.91644465554464,275.6151043777114
254.73525424670447,183.99193626494625
