x1,x2,x3
271.49296959278615,207.17896777067594,246.5511924220245
190.38779425739213,243.7348619309442,260.3043989935291
259.2550289788835,262.78219755469684,306.9196151417169
211.41500387308497,217.0653363496466,275.64209454779933
242.17803953010966,294.7411315322152,284.79406923400836
267.401278035629,284.50866950297006,276.0646853576282
227.25770381632958,279.04378223787114,241.0200700254763
247.09403450157194,232.75509793150945,312.7631410444785
276.85357302351366,241.46381845097494,229.4170767223684
278.16233519028646,219.50162842671259,187.12216903044
274.26624782191914,285.7782812275689,301.9000587438951
253.09697697875396,334.50860090277945,206.28820421820078
251.404149722824,238.7907883831481,248.12319046524794
257.2801522956865,231.89824564532685,250.89857620809374
238.71020194194608,277.41313567999055,222.9360339990382
243.25978406230982,237.80539167169937,257.1846091121069
238.31173602455831,266.87144216605077,239.85507126473505
225.34794505778365,224.41300662276427,349.1186937635385
242.0002061475849,268.2902684118187,249.85646744026224
239.26413717804942,249.11323391681864,284.2567048896028
187.3661441016538,246.31217251503608,266.1832522936495
239.3770314774771,204.87612784907898,248.92352454567634
253.47504193006776,297.0471980513511,246.73604943601984
254.05096442196754,256.78536104131985,188.57767624999158
202.26152474169592,233.17610431584652,232.6073036353683
213.64575477265632,250.89702513001197,144.83426184473296
259.3980735560359,265.55641669883335,273.6539524500976
242.23825085968824,229.3334728486254,275.548640572888
246.83125565538268,289.9650971838192,236.3462674233792
223.1596768611692,275.33632677157584,300.84140887322815
236.0474561914809,199.55024555148657,242.06304922219974
255.81582507102226,235.95437693572768,270.9141318968446
234.71059488152844,258.93805081022424,186.7553290803266
247.2802778983089,266.87144216605077,295.89968888837467
187.2939996177791,257.5140949973828,226.07886493461078
207.456155793298,247.6032827925064,296.1388878688261
238.4104761140542,265.0710859826006,236.2536725189619
248.89423441459482,286.9207720290825,266.5258146018178
261.48307877297646,224.29232232650506,268.3978535206873
257.216021689707,283.16650349624024,243.05006621081492
256.3755474851321,251.72739232268552,323.896591371626
303.345314350257,286.1996840053332,264.86271102996454
205.74959645926998,211.91973783989454,253.15896720594273
227.08979279933052,248.18187039939127,290.1194778604085
219.40469078372735,214.64308450596732,223.24683223188723
207.8480090841981,277.2777523281799,304.36491800551426
261.00788691534797,207.82201834531486,268.3631247195196
254.38164071270808,210.9830877417924,277.3867470863434
251.23636353369986,228.939038800405,254.29671326109124
265.2572920985136,235.59648657996703,251.63884943735272
199.3288804850152,262.451529813826,228.8516403811518
237.11246972481524,228.30560548315628,260.19981834654305
223.85331847615137,273.2635469829029,208.70872528453236
274.8384379084763,277.1800581263579,203.23808399957164
246.75015546091979,235.43019551711703,248.9504746391665
239.3950801418409,281.2006866313493,264.15333810593796
297.9300884322436,239.80265389183833,329.6507540147875
242.9937588321382,214.163572966675,260.13501713985
201.5302498844664,233.55363054310104,219.38422439788195
262.1674138527807,321.4726444498111,235.87304114535883
223.85385855591485,285.70426839122547,210.77085789917606
294.5724784336365,250.55055793600624,229.20324256926597
286.86740747101464,260.4238178299576,263.0508685204133
280.0835052259177,225.70506075733718,303.8320118393583
247.86837419443327,243.47834968425744,245.146226487657
231.392788888391,296.5234542033819,239.14931753985786
252.4232274534098,256.79700903239797,203.814517282817
267.240927631106,322.68575106240195,236.50857759977927
236.34374269619389,220.80247151330295,256.0544181330064
207.41803832223292,203.91342503869095,201.8918585439966
207.6963927298044,254.89936164371903,239.4355338355526
252.53303186241533,281.6297260546928,226.81324311839768
225.19293533335204,294.8943622894303,260.34199095015117
240.35296485955047,242.35146488535364,258.8683101078527
294.4211048746851,271.9109604780784,259.677989908607
256.27461419728064,253.32277100493485,278.5559760015937
243.62318890393206,303.33901507016594,241.97116116994223
258.92914582778747,218.34231951653288,257.7601532722996
314.1498754155872,242.30791264727813,225.2191168495093
272.6218888355819,253.39363612606863,219.80629333291296
225.18759692685038,251.82359015454955,212.4418669671422
282.032057148211,285.5850645162476,265.67204958483165
228.18458457157638,301.8274440204473,251.45387517787293
239.7795567468223,255.00372280421325,227.4136670993834
306.82731440562134,215.2123119277088,269.0098491188424
223.80114931576355,250.67235999519554,367.77672164400684
277.35558909435156,274.4915213335498,303.236214843447
257.9845155909329,267.182614170891,216.23040804034707
264.9132902610082,275.6599684707316,309.94333454411543
229.1669293810873,288.74903971169874,275.43405695378243
283.9697729379316,270.6173229841088,247.28108886938955
195.8847190783792,282.2170964433056,233.07565225828534
193.5392009785398,266.2436002723293,271.83725281240964
273.81182160139656,194.15544186478266,265.357157060891
226.20621082772848,227.8340919446661,331.7141125960977
307.3189559921418,180.72015594794658,253.15721878717665
221.4882626942549,286.73465635741616,251.84858684562704
240.82916378093987,273.5418939685091,216.45531500828054
250.51803440031023,201.43060399863543,229.67686008846707
268.4678113478157,256.6753713232118,291.3633778604333
