before,after
216.28972627228586,175.89762021524706
190.27945386809208,189.29593437552705
217.74468949979783,219.23393500699834
235.02126434328366,195.02102065615796
234.09848418101387,213.21822662816956
190.72645733697675,194.1869652803163
204.94584300184445,195.04507903531342
156.86191289096234,250.7553912657106
159.9650592416411,218.65118996629002
314.5803809219231,225.1268111735962
220.24706541710347,213.37146415460188
222.84600648475205,260.70550815189927
211.2693497961781,228.04494465329506
217.52381354441118,238.52223451156112
194.93648397723393,166.5353488349303
187.0819346351703,199.458659421781
218.88127313529327,249.2024634771075
223.99926956648054,259.2954050261375
240.56572402766002,163.1210642522006
182.1884958486929,223.9061809143097
236.28516581909219,245.74720762514602
260.4595738705809,220.4361785806121
273.4907963412385,289.8600118583867
197.9449006062719,218.05673963707787
194.84118117824977,258.2005365954956
201.12496092880264,232.14853625088517
192.20759363388777,177.58250491612003
206.47896354462625,252.02210964691756
258.2065761411288,153.13416903477284
214.39022617255233,266.2561555659758
231.09491338936007,228.88695649385411
202.66202012732404,200.56084688092136
258.3745793025962,273.637184807024
258.38757037437495,217.37227082740213
214.81591200247152,239.49897293412982
258.3577973125269,199.3505394010113
258.00981927659876,257.3735683149928
182.9762678154883,250.69012908754138
235.06070225023086,229.53785510281264
217.2503918848135,200.4075817634486
216.32230665221797,266.1059619517505
178.92225658716868,170.15217972658678
266.1883236939074,264.1797273451074
272.4369485608403,252.64177193316016
192.4363946155324,219.98377206406562
179.04600661783348,211.90949782533608
239.81595963144088,204.78196017272936
200.0568178160893,238.6192748825828
241.0473891989801,245.46183958954995
223.5741784036435,205.2897945959146
188.10863362450613,201.29821888672626
206.22743494497445,233.93686089282576
181.36271120717282,192.11609642595556
229.02593700133326,164.13897304147898
246.85347991629746,242.29427861020326
245.74015999996124,219.5563233273841
260.9104295301062,197.99709368337477
165.2906853097452,240.57602587837994
211.6782042091664,207.25587496132326
210.737795979988,248.499870043501
230.48198894070637,205.8203125286643
238.8282233683396,246.78956009842406
268.76959671119215,254.36001241651059
221.34176687834722,219.88572296012475
285.16787937940137,178.37424293405996
171.95320548436575,285.3594008221194
196.64188697655345,224.95883406093967
181.8981580630039,253.41810426579025
225.66578951552071,203.83354603720727
208.72128730775012,218.67873157923233
180.1134019566514,224.36685716493503
244.56587503119488,294.50048639194915
212.90469125631103,254.20041584920784
219.23224602669558,272.84314787055786
253.5436868431286,205.53011966305718
193.86036691830023,252.93138740514328
181.26426904596178,230.24722097168566
198.5243124311692,189.09136931484778
235.99491283918596,213.85598982680347
172.7782569602636,214.40367543449946
195.98849433108296,233.2901011870108
235.82383897274278,234.9080701291093
173.14643701229883,218.3598100998602
179.44508586530998,252.24432804931652
233.74443210152188,191.28810344181042
234.03801583361212,186.4276375517518
218.76096224613957,249.77467827013018
220.9719860527547,234.5835317956988
213.50047187039442,207.5216845616742
195.62869162413836,270.2603802539131
269.7686756771205,194.86024290375883
216.2431971053132,258.70790615230067
234.7501115192113,247.49012366005562
222.9549039182728,203.87618627017264
243.57284434111273,264.48553027146806
179.2068862917913,186.57752725662706
191.74116312749388,218.71272549344337
246.72035196311361,262.2214226502617
204.01035659446333,263.7406423457526
235.66709264971223,187.82733640672205
263.88816036302813,218.91793523817807
207.9294900078932,272.1850742490221
221.81698888803157,263.5798623453288
205.67582641366772,246.823389596163
226.63127583084727,245.3116403099422
173.57089215595508,222.3321321687873
124.45479845362212,209.98183568118196
178.83903720362161,228.01933584411833
221.2372888969893,241.34126233808362
177.479791108524,191.7511698034901
214.16128324156202,236.5356199159062
222.48007583508308,207.8778316482865
212.16534160021396,210.90351477861907
239.81257132357837,223.28454449278246
271.0975948057237,261.2793093757432
186.54658321709226,239.84562102125236
199.85301428368604,300.0323960749357
182.3221874011826,201.31052921303967
256.7394022764122,195.16903970000226
248.85876611238888,292.76665510171523
