class,score
A,84
A,59
A,49
A,57
A,82
A,60
A,47
A,73
A,72
A,46
A,73
A,76
A,63
A,84
A,79
A,48
A,54
A,41
A,71
A,43
A,38
A,33
A,81
A,88
A,91
A,44
A,41
A,69
A,65
A,33
A,37
A,55
A,56
A,56
A,46
A,73
A,33
A,88
A,84
A,56
A,64
A,68
A,77
A,30
A,93
A,89
A,57
A,64
A,45
A,45
A,51
A,30
A,46
A,39
A,56
A,51
A,56
A,59
A,58
A,55
A,91
A,81
A,59
A,82
A,49
A,75
A,87
A,71
A,77
A,61
A,36
A,56
A,48
A,68
A,90
A,37
A,31
A,93
A,62
A,82
A,60
A,70
A,41
A,78
A,67
A,68
A,51
A,75
A,68
A,88
A,57
A,63
A,93
A,85
A,49
A,58
A,60
A,94
A,66
A,32
A,55
A,43
A,90
A,56
A,85
A,90
A,92
A,69
A,49
A,45
A,56
A,57
A,83
A,54
A,89
A,85
A,86
A,58
A,80
A,87
A,54
A,34
A,79
A,89
A,91
A,53
A,66
A,83
A,42
A,66
A,72
A,79
A,54
A,37
A,75
A,38
A,36
A,40
A,34
A,59
A,71
A,50
A,65
A,76
A,80
A,87
A,77
A,71
A,70
A,63
A,67
A,70
A,78
A,50
A,58
A,90
A,31
A,93
A,89
A,74
A,77
A,51
A,93
A,49
A,52
A,45
A,38
A,91
A,75
A,40
A,69
A,72
A,32
A,88
A,61
A,46
A,33
A,42
A,46
A,66
A,54
A,93
A,84
A,76
A,74
A,45
A,53
A,33
A,33
A,44
A,37
A,30
A,65
A,50
A,36
A,66
A,48
A,50
A,76
A,91
A,46
A,38
A,70
A,73
A,71
A,31
A,64
A,33
A,37
A,93
A,60
A,33
A,91
A,53
A,82
A,57
A,88
A,51
A,90
A,49
A,74
A,65
A,33
A,52
A,55
A,52
A,64
A,42
A,36
A,42
A,87
A,32
A,91
A,48
A,40
A,83
A,58
A,93
A,62
A,78
A,30
A,40
A,38
A,79
A,77
A,45
A,31
A,45
A,88
A,84
A,50
A,71
A,54
A,56
A,76
A,40
A,32
A,89
A,73
A,66
A,86
A,47
A,72
A,43
A,41
A,83
A,85
A,58
A,81
A,48
A,46
A,87
A,46
A,94
A,84
A,47
A,64
A,49
A,80
A,72
A,32
A,31
A,39
A,54
A,33
A,71
A,83
A,74
A,60
A,47
A,77
A,90
A,68
A,93
A,82
A,78
A,58
A,61
A,41
A,53
B,89
B,37
B,71
B,44
B,93
B,35
B,63
B,85
B,74
B,41
B,40
B,45
B,83
B,53
B,31
B,42
B,47
B,70
B,81
B,79
B,67
B,64
B,65
B,91
B,91
B,68
B,54
B,30
B,74
B,79
B,75
B,77
B,41
B,46
B,69
B,68
B,36
B,38
B,71
B,93
B,47
B,92
B,63
B,88
B,72
B,76
B,93
B,43
B,93
B,44
B,90
B,47
B,63
B,84
B,75
B,33
B,78
B,45
B,38
B,83
B,61
B,83
B,55
B,32
B,77
B,36
B,60
B,70
B,77
B,90
B,32
B,66
B,86
B,52
B,48
B,92
B,58
B,36
B,48
B,70
B,89
B,78
B,67
B,52
B,84
B,59
B,30
B,65
B,37
B,76
B,31
B,35
B,41
B,50
B,94
B,39
B,94
B,87
B,60
B,66
B,81
B,45
B,42
B,68
B,31
B,47
B,49
B,44
B,62
B,94
B,43
B,89
B,72
B,76
B,47
B,91
B,34
B,78
B,58
B,94
B,74
B,39
B,76
B,40
B,65
B,75
B,62
B,67
B,86
B,66
B,41
B,30
B,52
B,73
B,41
B,87
B,72
B,86
B,42
B,45
B,74
B,65
B,50
B,42
B,59
B,80
B,92
B,68
B,42
B,69
B,81
B,53
B,60
B,43
B,34
B,52
B,83
B,40
B,69
B,93
B,80
B,86
B,62
B,92
B,78
B,90
B,71
B,80
B,30
B,58
B,38
B,48
B,71
B,79
B,78
B,72
B,80
B,84
B,73
B,92
