enrollee_id,target
25298,0.0
4241,1.0
24086,0.0
26773,0.0
32325,1.0
11103,0.0
31618,1.0
14682,0.0
24199,0.0
29416,0.0
26404,0.0
33307,0.0
11183,0.0
30902,0.0
23621,1.0
13955,0.0
2906,0.0
13911,0.0
29141,1.0
23828,0.0
11269,1.0
24043,1.0
18724,0.0
23093,0.0
14366,0.0
33340,0.0
26634,0.0
27532,0.0
21800,0.0
28697,0.0
1207,0.0
32953,0.0
6188,0.0
29237,0.0
31885,0.0
25888,1.0
29102,0.0
8673,0.0
11175,0.0
15559,0.0
3211,1.0
30044,1.0
18554,0.0
8665,1.0
27358,1.0
30828,0.0
8883,0.0
28634,1.0
26523,0.0
17360,0.0
31127,0.0
19185,1.0
26119,0.0
3982,0.0
7288,0.0
11769,0.0
25884,1.0
10514,1.0
17050,1.0
32077,0.0
24773,0.0
2319,0.0
29944,1.0
23895,0.0
8676,0.0
20706,1.0
27343,0.0
15624,0.0
5618,0.0
17509,0.0
27500,0.0
3102,0.0
3120,0.0
33071,0.0
16313,0.0
23169,0.0
9305,0.0
31161,1.0
13610,0.0
19395,0.0
2707,0.0
32928,1.0
24258,0.0
29760,0.0
6023,0.0
16764,1.0
888,1.0
29279,0.0
4851,0.0
23186,1.0
2953,0.0
29841,1.0
9052,0.0
7167,0.0
4366,0.0
455,0.0
31946,0.0
27828,0.0
6477,0.0
32277,0.0
11870,1.0
30601,0.0
11652,0.0
3458,0.0
11493,0.0
30653,0.0
29917,1.0
16899,0.0
30232,0.0
14889,0.0
28760,1.0
3822,1.0
12241,0.0
12921,1.0
20692,0.0
13971,0.0
26444,1.0
736,1.0
12578,1.0
28993,1.0
22410,1.0
8892,0.0
5777,1.0
451,0.0
8198,0.0
23343,1.0
28004,0.0
21921,0.0
22923,0.0
20501,0.0
19156,0.0
8719,0.0
6254,0.0
15375,0.0
12195,0.0
30589,1.0
11986,0.0
19507,0.0
7611,0.0
26092,0.0
8158,0.0
17064,1.0
14059,0.0
6036,0.0
8881,0.0
31850,0.0
11022,0.0
3362,0.0
32038,1.0
24900,0.0
3113,0.0
24191,0.0
14570,0.0
1553,0.0
12173,0.0
8773,0.0
12753,0.0
23654,1.0
18307,1.0
8840,1.0
15054,1.0
29976,1.0
4606,0.0
29548,0.0
7235,0.0
19622,0.0
16511,0.0
21193,0.0
11292,1.0
23556,0.0
9524,0.0
4693,1.0
17151,0.0
6906,0.0
16234,0.0
10267,0.0
5620,1.0
2040,1.0
2660,0.0
31041,0.0
20187,0.0
28665,0.0
24651,1.0
31583,0.0
13421,1.0
4302,0.0
18237,0.0
31482,0.0
15059,0.0
15281,0.0
18493,0.0
26442,1.0
18948,1.0
19063,1.0
2091,1.0
3585,0.0
