ID,value
A,84.17943410855223
A,93.97100278785778
A,62.1409569128845
A,72.91172266215403
A,79.2527468393177
A,72.24983231072407
A,78.50202097166039
A,98.6172902418169
A,65.74470700265995
A,76.23643300544414
B,71.57724609591106
B,77.94907636588457
B,66.62676269664067
B,84.5218766947061
B,88.29316591158137
B,80.2465245342661
B,73.51900015147969
B,83.8953194875811
B,76.2444652777227
B,84.91092511953909
C,85.35146661753008
C,87.62070828849912
C,86.43201725282331
C,94.01017156579249
C,87.31858628737936
C,77.02742072623636
C,86.20010138636479
C,78.43203920736836
C,87.69174556224179
C,88.3366699997653
