daily_usage,monthly_charge,support_contacts,data_usage,avg_call_duration,age,churn
59,8.402839032187252,8,7.933943684484246,4.6857909663347375,42,0
14,8.596278464696258,2,6.07476955438827,3.1645145013034353,53,1
21,9.924368262161067,9,5.721575930617928,10.495207803269992,48,1
62,3.766421038285113,10,23.67004407474563,8.915549847213146,64,0
36,8.036969772788733,2,29.70413902848562,8.381675744728174,24,0
47,6.537366239355085,5,36.62069324063343,4.9349612159761,77,0
3,6.26140709409244,6,37.03130744471853,16.173178594155374,33,0
50,2.0882529140997264,3,18.108812739936415,8.235589310799512,24,0
27,5.179051123882532,5,46.813356970660955,21.340115281231014,46,0
1,8.993813793106813,1,40.46621991426312,13.352193545541244,56,0
24,2.3567592669836923,9,15.8274832633935,17.03010867297391,56,0
38,3.8466335132320966,8,47.02242528680863,8.331154876457418,34,0
13,7.884044851900301,10,48.620999952005164,3.227415791009157,20,0
67,9.01710753209123,8,31.802123438998414,10.07845420683126,47,0
55,7.864409518879947,4,26.49406305442631,18.73774616230978,69,0
71,8.917489536268322,9,24.928539975285457,18.842355945190008,23,1
70,8.249363390295354,4,6.849953152683569,28.337116132032286,44,0
10,3.801789618147918,0,35.720538181329914,10.62795053289519,37,0
6,7.103016741309071,7,27.896372257535035,5.774224419501394,72,1
70,5.600995459358077,0,32.95568822347633,3.86337899959731,45,0
27,6.82042531074292,10,16.604968269656823,10.85333702666647,70,1
65,2.5480432530158366,7,0.3982202372725563,25.927135510620168,25,0
57,4.106526270025601,2,17.26149768349862,29.333918619810103,59,0
6,8.632141860363928,1,22.192959421065055,14.871728968446119,26,1
12,5.598737663780474,7,26.59445395037571,12.575837040819566,75,0
70,7.301316104474844,4,12.911550983308,6.489225731564273,34,0
12,4.847786990358822,10,22.901110583412937,23.95244268579605,35,0
55,9.542649131306094,1,22.929897175692,4.069743840459356,22,0
65,8.095254561059324,7,21.820979936479652,18.08722381608781,58,0
33,3.2531074957904664,1,47.742349651923405,6.923156008452857,67,0
45,9.838259662836176,5,16.65174359026992,8.355431109907109,31,0
9,8.005836055994777,5,30.612907538092234,1.5331981223963211,47,0
59,7.532944444554555,4,7.616389283133939,14.131597712116585,24,0
42,8.903044023299298,0,37.925094045819534,26.34237371010953,63,0
19,7.411410898707138,1,11.095023039218644,13.033852646310734,58,0
70,6.161524186012436,7,4.2150657305675185,20.5125668711678,39,0
8,6.5843314314467944,9,34.40222219180069,19.89395481653788,57,1
62,2.9411519052746016,8,0.7906598116481034,29.75215346744097,28,0
13,5.231823010612386,9,9.4907651486078,13.946815732099914,19,0
40,2.925900853429643,3,43.431981991171284,1.422447487787088,71,0
1,3.6234909405992175,7,38.23595707381396,10.097488849509892,24,0
48,9.602502023444734,1,5.9437195588536,23.666848896695573,41,0
18,8.93546774681507,8,5.85058624289731,26.70235827721581,21,0
4,3.877227534206795,9,44.49418632367433,13.417334256148013,35,0
19,3.8227393403448797,6,41.770391542106296,22.610205365718816,67,0
40,8.4170444650207,5,0.6514783878541874,26.320156440162602,74,0
54,6.817165152419848,1,13.450982339915523,27.59131939782656,74,1
29,7.446047143683884,8,44.08078199389988,8.070256193595206,26,0
25,3.2867853916619696,4,14.762090124482107,2.4562185190232024,50,0
34,6.473478454634612,9,24.468822448533512,9.574286138876955,48,0
39,9.793317029024124,2,13.921970412521729,28.506585353327647,60,0
72,9.958863784474573,10,3.466416519388238,18.043213530338832,41,1
5,5.52857726600627,8,46.98257556467541,29.910367339091305,42,0
11,6.068634315580628,8,36.60613034214779,17.276414664172798,38,0
