id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
3831168,(2018 TB),0.0278326768,0.06223575730000001,50084.517095773605,26571781.55060015,Earth,False,24.9,False
3373980,(2007 HA),0.2315021222,0.5176544822,97448.570420944,67612666.12556247,Earth,False,20.3,True
3759637,(2016 RF40),0.1214940408,0.2716689341,42429.8705309528,29634970.08111916,Earth,False,21.7,False
3746001,(2016 EV84),0.012149404099999999,0.0271668934,35984.3729072812,23566677.370106254,Earth,False,26.7,False
54226406,(2021 XG1),0.0088829042,0.0198627775,15383.9097844545,31619360.873744447,Earth,False,27.38,False
3843733,(2019 QK7),0.021113244500000003,0.047210649900000005,28399.8488781214,39841130.81070114,Earth,False,25.5,False
3669253,(2014 HQ124),0.43707400399999996,0.9773271842,50595.4325246425,1251204.436097737,Earth,False,18.92,True
2312070,312070 (2007 TA19),0.3439972547,0.7692012455,76958.6021826775,66750402.79237495,Earth,False,19.44,True
54161709,(2021 MV),0.0138852907,0.031048453900000002,35159.4038533417,2125042.68007971,Earth,False,26.41,False
3837989,(2019 BG2),0.11080388210000001,0.24776501260000003,27878.1809974692,32306342.5368623,Earth,False,21.9,True
54065916,(2020 TH6),0.0046190746,0.0103285648,49299.1238735582,37874567.34192738,Earth,False,28.8,False
3471657,(2009 UJ),0.0160160338,0.0358129403,49257.6687117392,2608484.398434031,Earth,False,26.1,False
3441171,(2008 XW2),0.1925550782,0.4305662442,62793.514038235306,16164773.278879747,Earth,False,20.7,True
3367899,(2007 CL26),0.050647145899999996,0.11325046109999999,33795.031870766696,11503265.786458848,Earth,False,23.6,False
3314045,(2006 BE55),0.11080388210000001,0.24776501260000003,67655.1822612433,28390794.78517933,Earth,False,21.9,True
54219293,(2021 VG11),0.0504144434,0.1127301225,14426.620669102,33010366.494049065,Earth,False,23.61,False
2480883,480883 (2001 YE4),0.17480545320000002,0.3908768761,41136.1052564981,6257650.822579801,Earth,False,20.91,True
3773760,(2017 GM4),0.1058168859,0.23661375010000002,85148.22057896519,30778545.58165605,Earth,False,22.0,True
3774612,(2017 JF3),0.1160259082,0.2594418179,88725.2852602807,70548719.38497517,Earth,False,21.8,True
2276049,276049 (2002 CE26),1.2261821132,2.7418265579,98394.6796728624,15242182.136249864,Earth,False,16.68,False
3445070,(2009 BE58),0.1214940408,0.2716689341,45271.0321762738,30543280.820515864,Earth,False,21.7,True
3402618,(2008 CQ116),0.04411182,0.09863702810000001,39103.287251977796,23236821.11281593,Earth,False,23.9,False
54017545,(2020 LG2),0.1058168859,0.23661375010000002,37363.255552143,9395060.765521675,Earth,False,22.0,True
2612348,612348 (2002 GZ8),0.47704019799999997,1.0666943108,76162.1311130771,55585016.70560728,Earth,False,18.73,True
3554640,(2010 YR),0.04411182,0.09863702810000001,58539.965699557804,45185640.64793811,Earth,False,23.9,False
54219296,(2021 VK11),0.12432400060000001,0.27799691649999997,40833.7235314243,35954852.25627834,Earth,False,21.65,True
2152742,152742 (1998 XE12),0.4004561582,0.8954471917,119266.83506887061,45316749.26839121,Earth,False,19.11,False
3388485,(2007 TN74),0.0201629919,0.04508582059999999,35994.971956993504,50702437.86411797,Earth,False,25.6,False
3363723,(2006 XW4),0.0366906138,0.0820427065,26172.119254022204,2249368.203991686,Earth,False,24.3,False
3770328,(2017 EL),0.0253837029,0.0567596853,38903.3525260253,50915270.02073741,Earth,False,25.1,False
3445079,(2009 BO58),0.11234531769999999,0.2512117673,106599.65365460199,71073474.30542508,Earth,False,21.87,False
2368565,368565 (2004 FE5),0.2550086879,0.5702167609000001,67554.3793280861,74185063.98512027,Earth,False,20.09,True
2387668,387668 (2002 SZ),0.2210828104,0.49435619259999997,45183.3744631525,45291442.81398882,Earth,False,20.4,True
