일시,기온,강수량,풍속,습도,증기압,현지기압,전운량,중하층운량,지면온도
2022-01-01 00:00,-8.5,,1.9,41,1.3,1021.9,0,0,-7.0
2022-01-01 01:00,-9.2,,1.8,42,1.3,1022.2,0,0,-7.2
2022-01-01 02:00,-9.5,,1.2,43,1.3,1022.3,0,0,-7.5
2022-01-01 03:00,-9.3,,1.4,46,1.4,1022.6,0,0,-7.6
2022-01-01 04:00,-9.6,,1.7,48,1.4,1021.9,0,0,-7.6
2022-01-01 05:00,-9.7,,0.8,51,1.5,1022.0,0,0,-7.7
2022-01-01 06:00,-9.8,,1.9,53,1.5,1021.7,0,0,-7.6
2022-01-01 07:00,-10.1,,1.9,55,1.6,1021.6,0,0,-7.6
2022-01-01 08:00,-10.2,,2.5,56,1.6,1021.8,0,0,-7.4
2022-01-01 09:00,-9.1,,2.1,56,1.7,1021.9,0,0,-6.4
2022-01-01 10:00,-6.8,,2.3,42,1.6,1022.4,1,0,-3.1
2022-01-01 11:00,-4.3,,0.9,37,1.6,1022.3,1,0,-0.4
2022-01-01 12:00,-2.3,,1.2,34,1.8,1021.4,0,0,3.0
2022-01-01 13:00,-0.1,,1.5,32,1.9,1020.3,1,0,5.5
2022-01-01 14:00,1.3,,2.2,32,2.1,1019.1,1,1,5.1
2022-01-01 15:00,1.9,,1.7,35,2.5,1018.5,0,0,2.1
2022-01-01 16:00,1.8,,1.4,37,2.6,1018.4,0,0,0.0
2022-01-01 17:00,0.5,,1.5,38,2.4,1018.5,0,0,-0.3
2022-01-01 18:00,-0.9,,0.7,42,2.4,1018.2,1,1,-1.2
2022-01-01 19:00,-1.2,,0.9,45,2.5,1018.2,7,7,-1.0
2022-01-01 20:00,-1.6,,0.9,47,2.6,1017.8,4,4,-2.3
2022-01-01 21:00,-2.4,,2.1,49,2.5,1017.5,3,3,-3.0
2022-01-01 22:00,-2.5,,1.0,49,2.5,1017.4,6,6,-3.4
2022-01-01 23:00,-2.6,,0.9,52,2.6,1017.1,8,8,-3.0
2022-01-02 00:00,-2.8,,2.3,55,2.7,1016.3,7,7,-3.3
2022-01-02 01:00,-2.9,,2.1,57,2.8,1015.8,8,8,-3.4
2022-01-02 02:00,-2.6,,1.9,57,2.9,1015.3,8,8,-2.5
2022-01-02 03:00,-2.1,,2.5,56,2.9,1015.1,9,9,-2.1
2022-01-02 04:00,-1.9,,2.0,55,2.9,1014.3,8,8,-2.1
2022-01-02 05:00,-1.9,,2.3,56,3.0,1013.6,9,9,-2.0
2022-01-02 06:00,-1.9,0.0,2.5,66,3.5,1014.1,9,9,-1.8
2022-01-02 07:00,-2.2,,2.0,81,4.2,1014.3,9,9,-1.6
2022-01-02 08:00,-2.2,,2.0,83,4.3,1014.6,8,8,-1.9
2022-01-02 09:00,-1.9,0.3,1.4,82,4.4,1015.4,8,8,-1.5
2022-01-02 10:00,-0.8,,0.7,81,4.7,1016.2,7,7,-0.8
2022-01-02 11:00,0.0,,3.3,80,4.9,1016.7,8,8,-0.1
2022-01-02 12:00,1.4,,2.4,74,5.0,1016.3,6,6,4.3
2022-01-02 13:00,1.4,,3.6,67,4.5,1015.7,3,3,3.8
2022-01-02 14:00,2.4,,3.5,55,4.0,1015.0,1,1,6.2
2022-01-02 15:00,2.5,,3.3,46,3.4,1015.1,0,0,2.7
2022-01-02 16:00,2.5,,3.0,45,3.3,1015.3,0,0,0.2
2022-01-02 17:00,1.2,,2.7,45,3.0,1015.6,0,0,-0.1
2022-01-02 18:00,-0.5,,2.9,40,2.4,1016.1,0,0,-0.8
2022-01-02 19:00,-1.6,,2.0,41,2.2,1016.8,0,0,-1.5
2022-01-02 20:00,-2.6,,1.6,46,2.3,1016.7,0,0,-2.3
2022-01-02 21:00,-2.9,,2.7,48,2.4,1016.9,0,0,-2.9
2022-01-02 22:00,-3.8,,2.1,49,2.3,1017.2,0,0,-3.7
2022-01-02 23:00,-4.4,,2.9,48,2.1,1017.3,0,0,-4.2
2022-01-03 00:00,-5.2,,1.6,51,2.1,1016.8,1,0,-4.9
2022-01-03 01:00,-5.8,,2.1,52,2.1,1016.9,0,0,-5.4
2022-01-03 02:00,-6.4,,1.7,56,2.1,1016.9,5,0,-5.9
2022-01-03 03:00,-7.0,,1.6,59,2.1,1016.9,2,0,-6.4
2022-01-03 04:00,-7.2,,1.3,61,2.2,1016.6,3,0,-6.5
2022-01-03 05:00,-7.4,,0.3,59,2.1,1016.5,2,0,-6.8
2022-01-03 06:00,-7.8,,2.1,55,1.9,1016.4,1,0,-7.2
2022-01-03 07:00,-7.7,,2.0,54,1.8,1016.3,0,0,-7.4
2022-01-03 08:00,-7.6,,1.6,55,1.9,1017.1,1,0,-7.2
2022-01-03 09:00,-6.9,,1.7,55,2.0,1017.2,1,0,-5.7
2022-01-03 10:00,-4.0,,1.2,55,2.5,1017.2,2,0,-2.3
2022-01-03 11:00,-1.4,,1.5,44,2.4,1016.8,0,0,-0.3
2022-01-03 12:00,0.9,,2.1,36,2.3,1015.9,2,0,2.6
2022-01-03 13:00,1.7,,2.8,43,3.0,1015.5,4,0,4.1
2022-01-03 14:00,2.0,,2.4,43,3.0,1014.6,6,1,4.9
2022-01-03 15:00,2.2,,2.2,48,3.5,1014.2,6,2,3.0
2022-01-03 16:00,2.3,,2.4,49,3.5,1014.0,7,7,1.1
2022-01-03 17:00,1.6,,3.0,56,3.8,1013.9,8,8,-0.1
2022-01-03 18:00,1.3,,1.9,58,3.9,1013.8,9,9,-0.1
2022-01-03 19:00,1.3,,2.6,65,4.4,1013.8,9,9,-0.2
2022-01-03 20:00,1.2,,1.8,68,4.5,1014.0,9,9,-0.2
2022-01-03 21:00,1.1,0.0,2.8,74,4.9,1013.8,9,9,-0.2
2022-01-03 22:00,0.9,,1.5,75,4.9,1013.6,8,8,-0.4
2022-01-03 23:00,0.6,,1.3,75,4.8,1013.4,9,9,-0.6
2022-01-04 00:00,0.7,0.0,1.6,81,5.2,1013.8,9,9,-0.4
2022-01-04 01:00,0.7,,1.3,81,5.2,1014.1,9,9,-0.5
2022-01-04 02:00,-0.4,,2.4,77,4.6,1014.7,0,0,-1.3
2022-01-04 03:00,-1.6,0.0,2.0,78,4.2,1015.6,0,0,-2.4
2022-01-04 04:00,-2.2,,2.5,76,4.0,1015.8,0,0,-3.0
2022-01-04 05:00,-2.9,,3.3,74,3.7,1015.9,0,0,-3.6
2022-01-04 06:00,-3.6,,2.6,73,3.4,1016.8,0,0,-4.2
2022-01-04 07:00,-4.0,,2.5,76,3.5,1017.6,0,0,-4.6
2022-01-04 08:00,-4.6,,1.9,75,3.3,1017.7,0,0,-4.8
2022-01-04 09:00,-4.3,,3.8,73,3.2,1018.1,0,0,-4.2
2022-01-04 10:00,-3.5,,2.8,66,3.1,1018.3,0,0,-1.6
2022-01-04 11:00,-1.9,,3.2,55,2.9,1018.1,0,0,0.0
2022-01-04 12:00,-0.6,,2.5,45,2.6,1017.5,0,0,4.3
2022-01-04 13:00,-0.5,,2.9,43,2.5,1016.9,0,0,6.9
2022-01-04 14:00,0.0,,3.6,37,2.3,1016.5,0,0,6.2
2022-01-04 15:00,0.9,,3.5,32,2.1,1016.5,0,0,2.9
2022-01-04 16:00,0.7,,3.0,29,1.9,1016.9,0,0,0.0
2022-01-04 17:00,-0.4,,2.8,29,1.7,1017.1,0,0,-0.5
2022-01-04 18:00,-1.7,,2.2,31,1.7,1017.3,0,0,-1.5
2022-01-04 19:00,-2.6,,0.7,35,1.8,1017.5,0,0,-2.5
2022-01-04 20:00,-2.5,,2.5,34,1.7,1017.7,0,0,-3.0
