ID,Response
0,0
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
18,0
20,1
22,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
33,0
34,0
35,0
36,1
37,0
39,0
40,0
41,0
45,0
46,0
47,0
48,0
50,0
51,1
52,0
53,0
55,0
56,0
57,0
59,0
60,1
61,0
62,0
64,0
65,0
67,0
68,0
69,0
70,0
71,0
73,0
74,0
75,0
76,0
77,0
79,0
81,0
82,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
93,0
94,0
95,0
96,0
97,0
98,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
114,0
115,0
116,0
117,0
118,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
136,0
138,1
139,0
140,0
141,0
143,0
144,0
145,0
146,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
157,1
158,1
159,0
160,0
162,0
163,1
164,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
174,0
175,0
177,0
178,0
179,0
180,0
183,0
184,1
185,0
188,1
189,0
190,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,0
207,1
208,0
209,0
210,1
211,0
213,0
215,0
216,0
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
227,0
228,0
229,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
239,0
240,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
274,0
275,0
276,0
277,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
291,0
293,0
296,0
297,0
298,0
299,0
301,0
302,0
304,0
307,0
308,1
309,0
311,0
312,0
314,0
315,1
318,0
319,1
320,0
321,0
322,0
324,0
326,0
327,0
328,0
330,0
332,0
335,1
336,0
337,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
348,0
350,1
351,0
352,0
354,0
355,0
356,1
357,0
358,0
359,1
361,0
362,0
363,0
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,0
397,0
398,0
400,0
401,0
405,0
406,0
407,1
408,0
409,0
410,1
413,0
414,0
415,0
417,0
418,0
419,0
420,0
422,0
424,0
425,0
427,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
438,0
439,0
443,1
444,0
445,0
446,1
448,1
450,0
451,0
452,0
453,1
454,0
455,0
456,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,1
471,0
472,0
476,0
478,0
479,1
480,0
481,1
483,0
485,0
486,0
488,0
489,0
490,1
491,0
492,0
493,0
496,0
498,0
500,0
501,0
502,1
503,0
504,0
505,0
507,0
508,0
510,0
512,0
513,0
514,0
515,0
516,0
518,0
520,0
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
532,0
534,0
535,0
536,0
537,0
538,0
539,0
541,1
542,0
543,0
544,0
545,0
546,0
550,0
551,0
552,0
553,0
555,0
556,0
558,0
559,0
561,0
562,0
563,0
564,0
565,0
566,0
570,0
571,0
573,0
574,0
576,0
577,0
579,0
580,0
582,0
583,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
593,0
596,1
597,0
599,1
600,0
601,1
602,0
603,0
605,0
606,0
607,0
609,0
610,1
611,1
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,1
622,0
623,0
624,1
625,0
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
639,0
640,0
641,0
642,0
644,1
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,0
653,0
655,1
656,0
657,0
658,0
659,0
660,0
662,0
664,1
665,0
666,1
668,0
669,0
670,0
672,0
673,1
674,0
