data,ID
329.231,A_1
333.468,A_2
264.615,A_3
330.089,A_4
255.057,A_5
289.981,A_6
318.849,A_7
326.061,A_8
359.999,A_9
298.456,A_10
292.817,A_11
306.08,A_12
340.324,A_13
300.185,A_14
313.45,A_15
329.219,A_16
339.805,A_17
321.34,A_18
305.583,A_19
298.87,A_20
294.142,A_21
282.813,A_22
319.899,A_23
316.822,A_24
316.855,A_25
265.891,A_26
287.344,A_27
327.05,A_28
352.156,A_29
304.31,A_30
301.848,A_31
294.299,A_32
210.07,A_33
290.451,A_34
295.768,A_35
276.279,A_36
288.95,A_37
295.556,A_38
325.896,A_39
248.255,A_40
304.524,A_41
332.807,A_42
291.564,A_43
314.728,A_44
323.901,A_45
354.243,A_46
295.214,A_47
307.027,A_48
327.571,A_49
275.871,A_50
323.002,A_51
291.252,A_52
288.926,A_53
311.068,A_54
282.536,A_55
339.06,A_56
295.026,A_57
300.994,A_58
317.413,A_59
307.557,A_60
285.894,A_61
274.512,A_62
306.282,A_63
301.006,A_64
351.377,A_65
350.425,A_66
270.256,B_1
338.252,B_2
305.2,B_3
250.333,B_4
275.064,B_5
268.348,B_6
408.086,B_7
340.636,B_8
296.755,B_9
316.412,B_10
358.993,B_11
334.787,B_12
311.987,B_13
295.143,B_14
299.21,B_15
345.271,B_16
353.599,B_17
358.6,B_18
310.982,B_19
272.661,B_20
294.893,B_21
346.862,B_22
235.979,B_23
254.346,B_24
267.713,B_25
276.747,B_26
381.858,B_27
332.506,B_28
292.729,B_29
371.681,B_30
284.594,B_31
392.597,B_32
258.316,B_33
280.83,B_34
277.934,B_35
283.437,B_36
362.587,B_37
280.568,B_38
