data,group
0.5353682260385123,A
1.0601498633535644,B
-0.08904197969953993,B
0.5757450632180942,A
0.5241744502902452,B
-2.2865221378045417,B
-1.2756510544001247,A
-1.1943935237129746,B
0.2275753684233597,A
1.0458929945782531,B
1.7681887461514787,A
1.0328960657878488,A
0.09139013379702667,A
1.8953579856064207,B
0.20512331185536778,A
0.9390111049933265,A
1.5346931979035208,B
-1.4343981112999336,A
2.256164748377997,B
0.7872221707479117,B
-0.07557780765645052,A
-1.1028641557646395,A
-0.40414329489289413,B
-0.2521805664925595,B
1.5004970246921094,B
-0.5398882149530136,B
1.082400654629636,B
-0.1408493081772279,B
-0.5333467634088436,B
-1.6254171291774926,A
0.34675638791840213,B
-2.5544374495679,B
-0.15622437360196442,A
-1.9969407179548662,B
0.5303516759579229,B
-0.2742457051405036,B
-2.280290780815685,B
-0.7986517451486954,B
1.2232455693325253,A
-0.9882402240098205,A
-0.2735921088091847,A
-0.23204713593414678,B
-0.4486946694683671,B
0.10761066175221189,A
0.6450273303059191,B
0.3799571252679763,A
0.8653084552152701,A
-1.0683381487479813,B
0.001963162532762214,A
1.0922215825453452,B
0.4212020087084032,A
0.31915548813879185,A
-1.4357876222795634,A
0.24032756635520094,A
0.6878405510400104,A
-0.682405059639727,A
-0.4264724536181755,A
-0.3315913348110778,A
-0.9393970139142693,A
0.6921904232139952,A
1.573399130870075,B
0.8725101793218999,A
0.8287869586947698,A
-0.5152976374507,A
0.5717649262557912,B
0.0915061503607315,B
0.6497865078505863,A
2.4252803200671087,B
-0.9182831344852376,B
0.36920678433407994,A
-0.20917665110439743,B
-0.46224603693556465,B
-0.12631292728108756,B
-0.01314425744517788,A
-2.682070164269018,B
-0.004224546221033417,A
-0.8652568490841716,A
-1.053144502364109,B
-0.31455769608405376,A
1.089959292491862,B
-0.24956384458770137,B
0.18139652314354485,B
-2.0882747926491487,B
-0.9559677693214564,A
-2.311231867557457,A
1.1406537665091836,A
-1.2639472702077117,A
-1.2434303528285322,A
-0.17467181039465973,B
0.7212433619436526,B
-0.6245703623303052,B
-0.5296120934247983,A
-1.1624346651717479,A
0.15025455478164776,B
0.6088304728939306,A
-0.8652599258314104,A
3.6750985038415473,B
1.3418238631227575,B
-0.2691231218381945,B
0.23715681218247092,A
