성별,급여
남,388.2026172983832
남,320.0078604183612
남,348.936899205287
남,412.04465996007286
남,393.37789950749834
남,251.13610600617943
남,347.5044208762795
남,292.4321395851151
남,294.8390574103221
남,320.52992509691865
남,307.2021785580439
남,372.71367534814874
남,338.0518862573497
남,306.0837508246414
남,322.19316163727126
남,316.68371636871336
남,374.70395365788033
남,289.74208681170995
남,315.65338508254507
남,257.2952130349138
남,172.35050920829605
남,332.68092977201803
남,343.22180994297526
남,262.8917489796779
남,413.4877311993804
여,150.94842858311918
여,198.06904645974296
여,197.3498338921889
여,197.9773986364618
여,293.89575393705115
여,207.2569479325188
여,172.27592463656197
여,178.72662043787415
여,209.8053900566685
여,153.1057647962658
여,204.94562400290198
여,205.52987166471902
여,161.81033526670038
여,156.90143438162252
여,168.94809830682377
여,172.6051028173193
여,192.22138903254552
여,178.8662155464798
여,372.7248690304526
여,155.38175562676452
여,161.7150757816479
여,158.79567767173015
여,202.93713624532077
여,164.60402674536348
여,181.3970790537096
